aonde gastou,natureza do gasto,valor total,parcelas,no da parcela,valor unitário,tipo,comp,data,cartao,transactionId,modelVersion,createdAt,flux
REMUNERACAO APLICACAO AUTOMATICA,Salário,0.03,1,,0.03,Conta Corrente,Usuario1,2025-11-11,CC - 01/08/2025 a 31/08/2025,abea785b-9fd4-4f2b-9581-928667d4b8fb,,2025-11-03T22:33:55.402Z,Entrada
REMUNERACAO APLICACAO AUTOMATICA,Salário,0.03,1,,0.03,Conta Corrente,Usuario1,2025-11-11,CC - 01/08/2025 a 31/08/2025,9f6f3029-aa2f-4c85-baba-e6be8c8c78e8,,2025-11-03T22:41:21.944Z,Entrada
REMUNERACAO APLICACAO AUTOMATICA,Salário,0.03,1,,0.03,Conta Corrente,Usuario1,2025-11-11,CC - 01/08/2025 a 31/08/2025,2e5f38ce-e5c8-46eb-bddb-7a20376e514f,,2025-11-03T22:47:12.919Z,Entrada
REMUNERACAO APLICACAO AUTOMATICA,Salário,0.03,1,,0.03,Conta Corrente,Usuario1,2025-11-11,CC - 01/08/2025 a 31/08/2025,c7cb02ea-03c0-49f2-8aa8-9b17e8e9cefd,,2025-11-03T22:48:36.101Z,Entrada
REMUNERACAO APLICACAO AUTOMATICA,Salário,0.03,1,,0.03,Conta Corrente,Usuario1,2025-11-11,CC - 01/08/2025 a 31/08/2025,85b17e1d-eea4-4c75-83be-393594acbd45,,2025-11-03T23:08:12.299Z,Entrada
REMUNERACAO APLICACAO AUTOMATICA,Salário,0.03,1,,0.03,Conta Corrente,Usuario1,2025-11-11,CC - 01/08/2025 a 31/08/2025,a0c4bae5-bc7e-4eaf-8e2e-ea6c304c33f8,,2025-11-03T23:43:28.638Z,Entrada
REMUNERACAO APLICACAO AUTOMATICA,Salário,0.03,1,,0.03,Conta Corrente,Usuario1,2025-11-11,CC - 01/08/2025 a 31/08/2025,4b12f505-1f50-42a7-8b85-fde1e977a214,,2025-11-03T23:50:04.350Z,Entrada
REMUNERACAO APLICACAO AUTOMATICA,Salário,0.03,1,,0.03,Conta Corrente,Usuario1,2025-11-11,CC - 01/08/2025 a 31/08/2025,4a11a2b8-8a3a-4005-a627-e764a845676c,,2025-11-03T23:51:26.882Z,Entrada
REMUNERACAO APLICACAO AUTOMATICA,Salário,0.03,1,,0.03,Conta Corrente,Usuario1,2025-11-11,CC - 01/08/2025 a 31/08/2025,eba14039-7738-4218-a0e5-e1c0c08ac70a,,2025-11-03T23:57:44.468Z,Entrada
